,ACCT_ID_M,DIRECT_DEBIT_FLAG,NUM_PAYMENT_CHALLENGED_6M,NUM_REFUNDS_3M,CHANNEL_PAY_APOST_12M,CHANNEL_PAY_BPAY_12M,CHANNEL_PAY_BPOINT_12M,CHANNEL_PAY_DD_SAVING_12M,CHANNEL_PAY_DD_CREDIT_12M
397488,1060399,0,0,0,0,3,1,0,0
44593,22247585,0,0,0,0,0,6,0,0
363298,21463673,0,0,0,0,0,22,0,0
2256966,22923563,0,0,0,0,4,0,0,0
2121907,12950787,0,0,0,0,5,0,0,0
289209,13947947,1,0,0,0,0,0,0,4
1246071,6138005,0,0,0,0,6,0,0,0
592668,1356883,0,0,0,0,11,0,0,0
1705200,16772621,0,0,0,0,0,0,0,0
1738032,7190251,1,0,0,0,0,0,5,0
1471739,23832157,0,0,0,0,5,0,0,0
1202913,3500469,1,0,0,0,0,0,0,4
320804,21729041,0,0,0,1,2,1,0,0
1549010,7820981,0,0,0,0,3,0,0,0
1570445,2404589,0,0,0,0,4,0,0,0
891473,11536187,1,0,0,0,0,0,4,0
263688,19732617,0,0,0,0,1,3,0,0
1720118,17092425,0,0,0,0,5,0,0,0
977422,21691839,0,0,0,0,4,0,0,0
2014953,17911823,0,0,0,0,1,1,0,2
943240,13277199,0,0,0,0,0,0,0,0
1035575,6441365,0,0,0,0,6,0,0,0
579926,3080617,0,0,0,2,0,0,42,0
187417,23461957,1,0,0,0,0,0,0,0
2089776,4140297,0,0,0,30,0,0,0,0
729812,20301827,1,0,0,0,0,0,0,5
893195,17210911,0,0,0,0,0,6,0,0
1094209,8534493,1,0,0,0,0,0,0,0
1943949,3846959,0,0,0,0,4,0,0,0
389315,23260413,0,0,0,0,0,4,0,0
592391,6712885,0,0,0,0,52,0,0,0
1727461,24365777,0,0,0,0,3,0,0,0
823188,1040917,0,0,0,0,0,5,0,0
1831674,14580899,1,0,0,0,0,0,0,5
1643356,18234319,1,0,0,0,0,0,4,0
1547458,21290507,1,0,0,0,0,0,4,0
1942475,13404949,1,0,0,0,0,0,4,0
995149,25406177,0,0,0,0,0,0,0,0
696343,18963311,0,0,0,6,0,0,0,0
1875185,22757575,0,0,0,0,6,0,0,0
1170955,20618057,0,0,0,0,4,0,0,0
481752,19369417,0,0,0,0,52,0,0,0
2179283,22649435,0,0,0,0,0,5,0,0
1307873,22429915,0,0,0,0,6,0,0,0
1783553,25099709,0,0,0,0,1,0,0,0
494926,1078949,0,0,0,0,4,0,0,0
403403,24540883,0,0,0,0,0,2,0,0
2188867,9277737,0,0,0,26,0,0,0,0
1539221,25066893,1,0,0,0,0,0,0,0
1889942,23997825,1,0,0,1,0,0,2,0
637101,1431305,0,0,0,0,6,0,0,0
330522,23258823,0,0,0,0,4,0,0,0
2104101,15243105,1,0,0,0,0,0,4,0
369279,25184357,0,0,0,0,0,0,0,0
1583036,17762409,0,0,0,0,4,0,0,0
162855,11206349,0,0,0,0,13,0,0,0
441005,25031251,1,0,0,0,0,0,1,0
