,ACCT_ID_M,OFFER_CHANNEL_CODE,ACQ_BROKER_EVER,ACQ_EXTERNAL_EVER,ACQ_INTERNAL_EVER,DEPT_Sales Chat
563875,17170873,ONLINETPU,0,0,1,
2282409,19541285,NBSC,0,0,1,
863927,23140547,DIGITAL,0,0,1,
323070,21883497,CIC_SAL,0,0,1,
1458234,7637273,,0,0,0,
304653,2347811,,0,0,0,
540303,15689245,UNK,0,0,1,
526070,462345,NBSC,0,0,1,0.0
1323875,24557789,NBSC,0,0,1,
1922512,18658347,NBSC,0,0,1,
761002,4018037,,0,0,0,
1431415,23208853,DIGITAL,0,0,1,
936876,25436229,NBSC,0,1,0,0.0
1212532,25588925,NBSC,0,0,1,
996415,19966185,NBSC,0,0,1,
1860419,9613837,DIGITAL,0,0,1,
1623952,14227667,NBSC,0,0,1,
2181103,7549027,,0,0,0,
874825,18805287,DIGITAL,0,0,1,
2160959,17301055,NBSC,0,0,1,
1228926,25264837,CONNECTNOW,0,1,0,0.0
62143,23371099,NBSC,0,0,1,
1594942,1983687,ONLINETPU,0,0,1,
585997,15265769,NBSC,0,0,1,
1293914,40061,NBSC,0,0,1,
1704239,511,DATACOM,0,0,1,
1552704,16112381,,0,0,0,
287044,12802801,NBSCADMIN,0,0,1,
2197775,11531865,,0,0,0,
82544,22467175,DIGITAL,0,0,1,
390902,3027799,NBSC,0,0,1,
250629,4262503,CIC_SAL,0,0,1,
1109383,3245323,NBSC,0,0,1,
1350644,19638389,NBSC,0,0,1,
1064552,23821153,CONNECTNOW,0,1,0,
883374,24110635,DIGITAL,0,0,1,
499725,24801757,NBSC,0,0,1,0.0
993224,25215925,NBSC,0,1,0,
2291221,12733559,ONLINETPU,0,0,1,
2109380,21655815,NBSC,0,0,1,
1946765,23720383,NBSC,0,0,1,
1251348,25276897,DIGITAL,0,0,1,
117346,8820661,ONLINETPU,0,0,0,
2322334,5662911,ONLINETPU,0,1,1,0.0
982236,2675057,DIGITAL,0,0,1,
434909,10891961,CST,0,0,1,
629560,8870181,CST,0,0,1,
737280,24964831,DIGITAL,0,0,1,
288448,22520225,ONLINETPU,0,0,1,
1310575,19732095,NBSC,0,0,1,
1565754,14689273,CST,0,0,1,
1109008,19140855,ONLINETPU,0,0,1,
1486735,24444517,ONLINETPU,0,1,0,0.0
621058,20560329,NBSC,0,0,1,
813101,21340379,ONLINETPU,0,0,1,
1831795,22366687,NEWCON,0,0,1,
2068156,22495541,NBSC,0,0,1,
1537827,1104349,DIGITAL,0,0,1,
479972,25327407,NEWCON,0,1,0,
110403,23413427,ONLINETPU,0,0,1,
385362,25528959,DIGITAL,0,0,1,
304127,15938445,NBSC,0,0,1,
1486076,24392727,DIGITAL,0,0,1,
2182198,21522387,NBSC,0,0,1,
1338620,23711125,NBSC,0,1,0,
890045,15173309,BEC,0,1,0,
2220837,25177177,DIGITAL,0,0,1,0.0
1511935,11176491,ONLINE,0,0,1,
2103502,13248125,ONLINETPU,0,0,1,
617178,11269939,NBSC,0,0,1,
1186683,10296133,ONLINETPU,0,0,1,
2225288,7489409,NBSC,0,0,1,
492685,5468355,ONLINETPU,0,0,1,
514887,24829459,DIGITAL,0,0,1,
1387832,21089433,ONLINETPU,0,0,1,0.0
927131,5978353,CST,0,0,1,
1947212,23002829,DIGITAL,0,0,1,
65044,17487093,NBSC,0,0,1,0.0
91655,23123811,NBSC,0,0,1,
1720763,25317833,DIGITAL,0,0,1,
578426,18133535,NBSC,0,0,1,0.0
260297,25089151,DIGITAL,0,0,1,
933096,10565829,ONLINETPU,0,0,1,
1451338,22850797,NBSC,0,0,1,
