,ACCT_ID_M,CVM_TOTAL_BILL_GROSS,CVM_AN_PERIOD_GM,CVM_REV_BILLED_DAYS,CVM_HOURS_WATCHED_TOTAL,CVM_SPORTS_HOURS_WATCHED_TOTAL,CVM_REV_LOYALTY_R_R_AMT
1547458,21290507,339.28248333333335,-239.71043,301.0,1298.3636363636363,-1496.000255012346,
211216,19856813,85.4363166666667,79.06367999999998,366.0,112.72727272727273,,
1942475,13404949,81.43056666666666,73.66758000000003,348.0,120.54545454545455,,
780207,21798999,128.979,37.28056999999999,243.0,344.54545454545456,,
1968056,22677699,,,,,,
995149,25406177,,,,,,
696343,18963311,137.25181666666666,94.61962,337.0,3727.818181818182,,
1875185,22757575,,,,,,
248634,19548891,73.6056,72.63871999999998,349.0,888.7272727272727,,
1170955,20618057,143.70025,77.24539999999998,334.0,3923.818181818182,,
1282636,22181947,105.22936666666664,88.18215589999998,180.0,2130.5454545454545,,
481752,19369417,267.6547666666667,106.92277999999997,247.0,541.8181818181819,,
2179283,22649435,118.43495000000003,150.32670134079999,41.0,2506.9242763636366,,
1307873,22429915,145.47266666666667,116.7941643,133.0,4014.5454545454545,,
1028891,24339921,,,,,,
1783553,25099709,,,,,,
494926,1078949,241.34468333333334,109.83779999999996,338.0,8013.454545454545,,
403403,24540883,,,,,,
1914020,21536791,124.2996,52.77837,364.0,365.27272727272725,,
2188867,9277737,295.7063666666667,103.65734,361.0,1091.2727272727273,,
1539221,25066893,,,,,,
1889942,23997825,,,,,,
637101,1431305,154.45711666666668,47.795079999999984,365.0,4716.727272727273,,
330522,23258823,,,,,,
2104101,15243105,443.4038666666667,269.42308999999995,366.0,1466.5454545454545,,
369279,25184357,,,,,,
1583036,17762409,402.76039999999995,70.44449999999993,336.0,1290.7272727272727,,
162855,11206349,475.5303166666667,293.67057,347.0,1860.5454545454545,,
1540917,24130097,,,,,,
441005,25031251,,,,,,
335047,23749881,,,,,,
1576148,22286957,608.7243500000001,319.5197300000001,126.0,2456.3636363636365,,
386026,24733935,,,,,,
744739,18070389,117.4092333333333,74.16306000000003,348.0,291.6363636363636,,
598661,18123487,154.91388333333333,16.982460000000017,366.0,4813.454545454545,,
1250440,25001281,,,,,,
336228,9883559,365.48363333333333,83.21355999999993,337.0,16468.0,,
905356,14408735,280.90356666666673,180.63102,363.0,10926.0,,
2148684,24892315,,,,,,
628211,23810473,,,,,,
492602,14087751,265.6369333333334,23.414450000000013,340.0,978.1818181818181,,
2343389,16766865,93.15836666666667,100.06168000000001,342.0,142.1818181818182,,
563875,17170873,412.28621666666663,49.67522999999997,366.0,1595.6363636363637,,
1960620,3805687,248.23489999999995,232.19398999999999,358.0,729.8181818181819,,
879641,4988929,546.9309999999999,-118.15279999999993,365.0,2098.181818181818,,
2282409,19541285,204.77153333333334,108.84186999999999,348.0,637.8181818181819,,
863927,23140547,,,,,,
323070,21883497,220.53106666666667,36.148250000000026,273.0,672.7272727272727,,
855419,20915895,204.6925666666667,30.721990000000005,366.0,738.3636363636364,,
650682,12556873,167.47643333333335,99.30950000000001,365.0,437.8181818181818,,
1284337,24407191,,,,,,
1458234,7637273,147.0773333333333,117.3256,362.0,405.45454545454544,,
304653,2347811,199.95106666666666,179.7985,344.0,6271.818181818182,,
540303,15689245,175.02286666666666,111.52391999999998,364.0,602.0,,
1991714,20574091,637.3584,234.3095600000001,366.0,1794.3636363636363,,
526070,462345,142.79906666666665,57.2205,348.0,2353.4545454545455,,
1323875,24557789,,,,,,
1922512,18658347,119.02191666666666,108.38475000000003,360.0,2705.090909090909,,
761002,4018037,132.2905833333333,113.7211,338.0,349.09090909090907,,
1431415,23208853,,,,,,
936876,25436229,,,,,,
1212532,25588925,,,,,,
996415,19966185,131.72068333333334,81.4313,363.0,3207.818181818182,,
1111840,12591381,342.80901666666665,248.08197999999996,358.0,14070.363636363636,,
1860419,9613837,489.09506666666675,75.71902,366.0,1376.0,,
1623952,14227667,125.79621666666664,52.851834999999994,365.0,1867.4545454545455,,
2181103,7549027,93.13103333333335,141.25842999999998,338.0,1511.2727272727273,,
874825,18805287,210.9761666666667,66.17408999999996,337.0,9176.545454545454,,
2160959,17301055,399.5349166666667,68.25405000000002,336.0,17099.090909090908,,
812395,12309267,335.2035,110.48333000000004,362.0,806.7272727272727,,
1228926,25264837,,,,,,
62143,23371099,,,,,,
228069,14242047,386.0942,293.33416999999986,340.0,1170.7272727272727,,
1594942,1983687,217.48556666666664,126.09259999999998,366.0,605.2727272727273,,
585997,15265769,499.34841666666665,100.13196000000003,366.0,1356.1818181818182,,
2151135,24542145,,,,,,
1293914,40061,67.80008333333333,159.8549,366.0,101.81818181818181,,
1704239,511,231.75221666666656,139.68338,364.0,494.0,,
1552704,16112381,211.5574,132.99091,364.0,666.1818181818181,,
287044,12802801,403.73975,161.86944000000005,349.0,994.7272727272727,,
2197775,11531865,241.31320000000002,122.21086999999996,358.0,842.3636363636364,,
82544,22467175,263.2541499999999,195.45146,123.0,9208.0,,
55708,25609581,,,,,,
390902,3027799,238.58040000000003,16.237480000000016,345.0,776.7272727272727,,
1300243,12354867,61.81941666666666,98.979225,364.0,718.0,,
250629,4262503,150.73791666666668,119.29312500000003,362.0,4047.090909090909,,
2260540,24877267,,,,,,
1109383,3245323,215.75301666666664,176.14147,362.0,460.54545454545456,,
37744,23138183,,,,,,
1350644,19638389,218.25081666666665,-156.13028,356.0,642.9090909090909,-833.3630493333334,
1064552,23821153,,,,,,
614581,10327485,281.78999999999996,-84.71732999999998,321.0,690.5454545454545,-1087.2133860000001,
857593,20608737,342.7483333333333,121.69827999999998,366.0,1146.7272727272727,,
1057424,16900919,143.75698333333335,55.98530000000001,356.0,3898.7272727272725,,
1281833,18597021,119.17016666666667,105.5705,340.0,2682.3636363636365,,
883374,24110635,,,,,,
499725,24801757,,,,,,
2238490,23490129,,,,,,
1975405,16052931,485.7115166666667,110.1444700000001,354.0,1533.2727272727273,,
2292513,4591919,348.6972666666666,350.86657999999983,366.0,13810.363636363636,,
993224,25215925,,,,,,
2291221,12733559,204.99644999999998,94.64151,352.0,638.7272727272727,,
2109380,21655815,52.78740000000001,-122.22697,350.0,-19.272727272727273,-397.61473033333334,
1946765,23720383,,,,,,
1251348,25276897,,,,,,
468701,3198247,254.84836666666675,254.2428,361.0,552.7272727272727,,-42.7
117346,8820661,52.24,71.95999,175.0,2.0,,
2322334,5662911,303.6057,125.63524000000002,356.0,920.3636363636364,,
