,ACCT_ID_M,DAYS_LAST_LOGIN,NUM_LOGINS_6M,NUM_WKDAY_LOGIN_6M,NUM_WKEND_LOGIN_6M,Measures.Call_Duration_mean,Measures.Call_Duration_min,Measures.Call_Duration_max,DEPT_Retention Inbound,DEPT_Retention Outbound,MAX_RING_DURATION_6M,MAX_TALK_DURATION_3M,NUM_INTERACTION_3M,EMAIL_T1_ISP_FLG,EMAIL_T2_ISP_FLG,EMAIL_WEBMAIL_FLG
1300558,14638661,,0,0,0,449.375,56.0,1240.0,0.0,0.0,,,2,0,0,0
115671,5574871,,0,0,0,,,,,,4.0,,1,0,0,1
1558550,9239337,158.0,1,0,1,,,,,,,,1,1,0,0
1638384,18509473,,0,0,0,,,,,,,,0,0,0,0
144424,16150877,,0,0,0,,,,,,,,1,0,0,0
1872602,6461971,,0,0,0,,,,,,,,0,0,0,0
1986901,20936513,807.0,0,0,0,,,,,,,,6,0,0,1
784015,8839633,30.0,6,6,0,,,,,,,,3,0,0,0
1811360,19852913,,0,0,0,,,,,,,,1,0,0,1
1193590,22775973,300.0,0,0,0,,,,,,,,6,0,0,1
2223328,25185087,83.0,1,1,0,,,,,,,,4,0,1,0
489137,21450071,45.0,4,4,0,428.0,428.0,428.0,0.0,0.0,,,0,0,0,1
1854538,24796547,,0,0,0,,,,,,,,0,1,0,0
494527,21598703,551.0,0,0,0,,,,,,,,2,0,0,1
1756424,22430427,8.0,9,9,0,416.66666666666674,310.0,551.0,0.0,0.0,,,4,0,0,1
643820,24887863,120.0,1,1,0,550.3333333333334,83.0,1189.0,0.0,1.0,,,1,0,0,1
2330069,10211605,1408.0,0,0,0,,,,,,,,0,0,0,1
456859,21541057,414.0,0,0,0,,,,,,,,2,0,0,0
1440952,7178157,161.0,6,6,0,,,,,,,,0,0,0,1
852852,8789491,,0,0,0,,,,,,,,3,0,0,0
358292,18861273,64.0,2,2,0,,,,,,,,4,0,0,1
1255598,19348387,,0,0,0,,,,,,,,4,0,0,1
1364086,19205691,,0,0,0,,,,,,788.0,1856.0,1,0,0,0
1534611,19364717,869.0,0,0,0,,,,,,,,2,0,0,1
1907537,1980205,,0,0,0,,,,,,,,1,0,0,0
745048,11898029,13.0,1,1,0,,,,,,,,0,0,0,0
1751535,21233617,300.0,0,0,0,468.5,21.0,1515.0,0.0,0.0,,,3,0,0,1
2229411,6212351,71.0,1,1,0,,,,,,,,4,0,0,1
2328535,13959399,1207.0,0,0,0,,,,,,,,1,0,1,0
1687297,4037039,,0,0,0,,,,,,,,0,0,0,0
162833,21000049,47.0,6,5,1,,,,,,,,2,0,0,1
929136,18185331,,0,0,0,,,,,,,,2,0,0,0
763047,14492889,872.0,0,0,0,,,,,,,,0,0,1,0
40096,24910705,,0,0,0,1466.0,1466.0,1466.0,0.0,0.0,,,0,0,0,0
27266,5411543,1578.0,0,0,0,,,,,,,,0,0,0,0
1804342,20387315,6.0,6,6,0,,,,,,,,0,0,0,1
42305,3561531,,0,0,0,,,,,,,,0,0,0,0
2171659,8569205,960.0,0,0,0,,,,,,,,3,1,0,0
1093218,20733269,18.0,18,14,4,,,,,,,,3,0,0,1
1898530,12658345,878.0,0,0,0,,,,,,,,1,0,0,1
2091222,17909519,426.0,0,0,0,,,,,,,,0,0,0,1
1620137,9657515,20.0,4,4,0,,,,,,,,9,0,0,1
1079838,14043785,,0,0,0,,,,,,,,0,0,0,0
1068909,24910475,57.0,4,4,0,,,,,,,,1,0,0,1
1115444,12829969,,0,0,0,,,,,,,,0,0,0,0
173708,12879655,,0,0,0,,,,,,,,1,1,0,0
321668,11247869,,0,0,0,,,,,,,,0,0,0,1
590646,23704623,18.0,1,0,1,,,,,,,,1,0,0,1
561542,9138205,56.0,3,3,0,,,,,,,,0,0,0,1
276895,24878335,153.0,1,1,0,,,,,,,,1,0,0,0
1442928,14577,,0,0,0,,,,,,,,0,0,0,0
1562244,25389809,,0,0,0,390.0,390.0,390.0,0.0,1.0,,,2,0,0,1
184883,23839699,,0,0,0,,,,,,,,0,0,0,0
1775829,3963967,,0,0,0,,,,,,,,0,0,0,0
386692,23702295,18.0,12,8,4,771.0,771.0,771.0,0.0,0.0,,,0,0,0,1
1611130,8769621,,0,0,0,,,,,,,,1,0,0,1
1497962,7524195,,0,0,0,,,,,,,,1,0,0,1
334402,25157273,,0,0,0,,,,,,,,2,0,0,0
1613454,10327891,,0,0,0,,,,,,,,1,1,0,0
